Id,Name,Region,Add,Town,Px,Py
C1_376480000A_000051,坑內坑森林步道,南投縣,南投縣名間鄉豐柏路旁的木棧平臺,名間鄉,120.63045,23.83257
C1_376480000A_000053,竹山連興宮,南投縣,南投縣竹山鎮下橫街28號,竹山鎮,120.68499,23.75691
C1_376480000A_000054,楠仔腳蔓社學堂遺蹟,南投縣,信義鄉望美村部落內,信義鄉,120.84415,23.58738
C1_376480000A_000067,日月潭涵碧步道,南投縣,南投縣魚池鄉日月潭畔,魚池鄉,120.90913,23.86268
C1_376480000A_000068,日月潭水社親水步道,南投縣,南投縣魚池鄉名勝街,魚池鄉,120.91194,23.86443
C1_376480000A_000069,日月潭水蛙頭步道,南投縣,南投縣埔里鎮南投縣魚池鄉日月村水蛙頭步道,魚池鄉,120.93591,23.85858
C1_376480000A_000070,烏松崙觀光梅園,南投縣,南投縣信義鄉自強村烏松崙,信義鄉,120.84746,23.67786
C1_376480000A_000073,日月潭後尖山步道,南投縣,南投縣魚池鄉頭社佛堂旁,魚池鄉,120.89696,23.83204
C1_376480000A_000074,日月潭青龍山步道,南投縣,555南投縣魚池鄉玄光寺碼頭,魚池鄉,120.91606,23.84769
C1_376480000A_000076,廣霖菇菇的家養生館,南投縣,南投縣國姓鄉南港村南港路146號,國姓鄉,120.86866,23.94994
C1_376480000A_000078,水雲橋,南投縣,南投縣水里鄉中山路一段515號(玉山國家公園管理處旁),水里鄉,120.8497,23.81291
C1_376480000A_000079,南投野溪溫泉-精英溫泉,南投縣,南投縣仁愛鄉在台14線95.2公里處,仁愛鄉,121.16603,24.02604
C1_376480000A_000080,永興大樟樹,南投縣,永興村永興活動中心旁，鄰投58號鄉道,水里鄉,120.86197,23.78397
C1_376480000A_000081,龍鳳瀑布,南投縣,南投縣中寮鄉瀧林巷28號,中寮鄉,120.81047,23.94233
C1_376480000A_000083,日月潭大竹湖步道,南投縣,南投縣魚池鄉大竹湖步道,魚池鄉,120.94074,23.86373
C1_376480000A_000086,名間新街冷泉濕地,南投縣,南投縣名間鄉新街村,名間鄉,120.69469,23.88299
C1_376480000A_000087,和菓森林,南投縣,南投縣魚池鄉新城村香茶巷5號,魚池鄉,120.93583,23.92301
C1_376480000A_000089,日月潭土亭仔步道,南投縣,南投縣魚池鄉日月村土亭仔步道,魚池鄉,120.92247,23.85137
C1_376480000A_000090,日月潭─月潭自行車道,南投縣,555南投縣魚池鄉月潭自行車道,魚池鄉,120.90679,23.84043
C1_376480000A_000091,日月潭伊達邵親水步道,南投縣,南投縣魚池鄉水秀街57號,魚池鄉,120.93284,23.84952
C1_376480000A_000093,父不知子斷崖,南投縣,南投縣信義鄉父不知子斷崖,信義鄉,120.93769,23.55587
C1_376480000A_000094,臺灣菸酒(股)公司南投觀光酒廠,南投縣,南投市軍功里東山路82號,南投市,120.70505,23.92009
C1_376480000A_000095,曲冰遺址,南投縣,南投縣仁愛村曲冰部落,仁愛鄉,121.07895,23.96335
C1_376480000A_000096,八通關古道,南投縣,南投縣信義鄉八通關古道,信義鄉,120.92823,23.55612
C1_376480000A_000097,水里鵲橋,南投縣,南投縣水里鄉上安村水里鵲橋,水里鄉,120.85922,23.74014
C1_376480000A_000099,紫南宮,南投縣,南投縣竹山鎮社寮里大公街40號,竹山鎮,120.72258,23.81674
C1_376480000A_000111,遊山茶訪,南投縣,南投縣竹山鎮延平路19號,竹山鎮,120.70254,23.76891
C1_376480000A_000129,軟鞍八卦茶園(大鞍竹海風景區),南投縣,南投縣竹山鎮大鞍里五寮巷12-1號,竹山鎮,120.75193,23.67503
C1_376480000A_000133,人止關,南投縣,台灣南投縣仁愛鄉台14甲線(大觀橋與仁愛橋折彎區),仁愛鄉,121.06985,23.99645
C1_376480000A_000134,LaLu島(拉魯),南投縣,南投縣魚池鄉拉魯島,魚池鄉,120.91124,23.8568
C1_376480000A_000136,肖楠巨林群,南投縣,南投縣中寮鄉清水村龍林巷65號（左右）,中寮鄉,120.81365,23.94053
C1_376480000A_000143,雙十吊橋,南投縣,中潭公路旁草屯鎮雙冬段雙冬橋旁,草屯鎮,120.77966,23.9858
C1_376480000A_000145,北港溪石橋,南投縣,南投縣國姓鄉國姓路糯米橋,國姓鄉,120.90648,24.05851
C1_376480000A_000152,林家養鹿場,南投縣,南投縣國姓鄉南港村,國姓鄉,120.86575,23.94602
C1_376480000A_000154,台灣國姓咖啡館(國姓驛站),南投縣,南投縣國姓鄉中正路一段127號,國姓鄉,120.81935,24.01217
C1_376480000A_000161,廣興紙寮,南投縣,南投縣埔里鎮鐵山里鐵山路310號,埔里鎮,120.93827,23.97572
C1_376480000A_000162,埔里寶湖宮地母廟,南投縣,南投縣南投縣埔里鎮枇杷路94號,埔里鎮,120.98943,23.95142
C1_376480000A_000164,大崙山銀杏茶園,南投縣,南投縣鹿谷鄉羊彎巷,鹿谷鄉,120.76351,23.67931
C1_376480000A_000170,二坪山,南投縣,南投縣水里鄉鉅工村二坪路,水里鄉,120.85733,23.81299
